,1000 Questions,,,1,20%
 873 ,"Which would not be a priority for investigation in EIA of a complex proposing limestone quarrying and cement production?
(A) Environmental Justice, impacts on sensitive communities, critical habitats, heritage sites, and endangered species
(B) Management of water quality, air quality, noise, traffic, common industrial wastes, and toxic/hazardous wastes
(C) Consumption of electricity, water, and other utilities
(D) Company policies on 'hiring and firing' and management training",D,,,
 874 ,"A reduction in overall water quality due to an increase in the concentration of chemical nutrients would be an example of 
(A) osmosis 
(B) hypoalimentation 
(C) eutrophication 
(D) fertilization 
(E) denitrofication",C,,,
 875 ,"lf excessive amounts of hot water are discharged into a lake in a case of 'thermal pollution', the immediate result will most likely be
(A) an increase in the sewage content of the lake
(B) a decrease in amount of dissolved oxygen in the lake
(C) an increase in the amount of PCB pollution in the lake
(D) a decrease in the amount of phospates in the lake",B,,,
 876 ,"A common layman's attitude that says solid waste or hazardous facilities should not be located near one's home or community
(A) P.I.M.O. 
(B) N.l.M.B.Y. 
(C) F.O.N.S.I. 
(D) E.T.J. 
(E) B.o.B.",C,,,
 877 ,"What are L.U.L.U.'s?
(A) Legally Unhampered Land Utilization
(B) Large Unified Land Undertakings
(C) Locally Unwanted Land Uses
(D) Legally Under-aged Lady Urbanites",C,,,
 878 ,"The presence of which of the following contaminants would be the strongest reason for judging municipal sewage sludge as unfit for conversion into and use as fertilizer.
(A) Human feces
(B) Ammonia
(C) Phosphates
(D) Heavy metals
(E) Nitrates",D,,,
 879 ,"Which of the following constitutes pre-consumer recycled content?
(A) a tile facility reuses shards of tile broken during the manufacturing process to make a new tile
(B) a steel manufacturing facility uses recycled steel melted down from old cars
(C) a steel manufacturing facility recycles rebar from old construction projects to make steel beams
(D) a curtain manufacturer purchases scrap trimmings from a carpet manufacturer",D,,,
 880 ,"At present, the major environmental problem with nuclear power as source of electricity is
(A) shortage of uranium and plutonium
(B) disposal of radioactive waste
(C) melt-down of the core nuclear reactor
(D) large-scale combustion or explosion as in Japan, March 12,2011
(E) fissures and leaks on building walls
(F) GHG emission and air pollution",F,,,
 881 ,"The process in which toxic and hazardous waste (THW) materials are injected into an underground rock layer is called
(A) fission
(B) sub-littoral deposition
(C) deep-well injection
(D) surface impoundment
(E) chemical neutralization",C,,,
 882 ,"Exposure to cosmic rays, x-rays, ultraviolet rays, and radiation from radioactive substances may promote
(A) the production of similar organisms
(B) new inheritable characteristics
(C) hyper-active stimulation of internal organs
(D) a change from sexual to asexual reproduction",C,,,
 883 ,"Which of the following is the best example of 'environmental remediation'?
(A) A species of trout becomes extinct in a eutrophic lake.
(B) The annual volume of sewage flowing into a stream is decreased by one half.
(C) The height of a factory smokestack is increased.
(D) PCB-consuming bacteria are sprayed on an area that has soil contaminated with PCBs.
(E) A parcel of forest land is declared a state park.",D,,,
 884 ,"Whereas the EIA of the 1970s has traditionally focused on the impact of specific projects on the environment, Strategic Environmental Assessment (SEA) focuses on
(A) The impact of overall development programmes, plans, and policies on the natural environment
(B) The methods to assess environmental damage and their negative impacts on society
(C) The strategies to maximize impact of environment and natural resource utilization
(D) The strategies to lessen environmental degradation as a necessary trade-off in development",A,,,
 885 ,"Which of these does not improve the effectiveness of social participation?
(A) Identify interested and affected parties in relation to the proposed development 
(B) Provide accurate, understandable, relevant & timely information
(C) Ensure that decision-makers are kept at a distance from interested and affected parties
(D) Incorporate public concerns into decisions",C,,,
 886 ,"Public participation is important for each of the following reasons except
(A) Decision-making competency improves 
(B) The legitimacy of the decision increases 
(C) The decision-making process is speeded up 
(D) Participants become more responsible democratic citizens",C,,,
 887 ,"The 'Anti-Graft and Corrupt Practices Act of the Republic of the Philippines is numbered as
(A) Republic Act 3019 
(8) Republic Act 1530 
(C) Republic Act 6040 
(D) Republic Act 6969",A,,,
 888 ,"According to the 1997 Code of Ethics for Environmental Planners in the Philippines, Sec. 11, the “primary obligation of the Environmental Planner is to”
(A) “contribute to the incessant development of the profession by sharing and improving knowledge.”
(B) “strive for high standards of professional integrity, proficiency, and knowledge” 
(C) “develop and enhance a healthy professional relationship with colleagues and other professionals”
(D) “serve the country and in so doing safeguard public interest”
(E) “maintain a harmonious working relationship with client or partner in a noble undertaking.”",D,,,
 889 ,"Which of the following is the role of the planner according to the APA Code of Ethics and Professional Conduct?
(A) assist in the clarification of community goals, objectives, and policies in plan-making 
(B) strive to give citizens the opportunity to have a meaningful impact on the development of plans and programs 
(C) have special concern for the long range consequences of present actions 
(D) ensure that participation be broad enough to include people who lack formal organization or influence 
(E) all of the above",E,,,
 890 ,"Which of the following ethical principles directly pertains to a planner’s responsibility to his / her private client? 
(A) Do not plagiarize. 
(B) Do not accept work that cannot be performed in a timely fashion 
(C) Do not coerce others to reach findings which are not supported by evidence 
(D) Do not disclose, without sufficient legal cause, privileged Information clearly kept restricted by concerned party 
(E) when in authority and facilitating public hearings, do not make secret deals with participants",D,,,
 891 ,"Which of the following is unethical practice of a registered environmental planner?
(A) falsely injures the practice of other environmental planners 
(B) provides unjust compensation to colleagues and subordinates 
(C) affixes signature on plans he did not prepare or supervise 
(D) enters competitions where s/he has direct involvement in program formulation 
(E) all of the above",E,,,
 892 ,"Which of the following is an actual conflict of interest?
(A) voting in a public election on an environmental issue that directly affects your consulting services
(B) making official government recommendations on a site plan that you developed when previously employed in the private sector
(C) accepting souvenir gifts from a housing developer at the vendors' and sponsors' area of a planners' convention
(D) reporting to PRC an act of dishonesty by a planner about his supposed work experience in a job originally occupied by you.",B,,,
 893 ,"In the Code of Ethics for Environmental Planners, to whom does the EnP have responsibility to seek opportunities for constructive service in civic and community affairs?
(A) Own Clientele
(B) Professional Organization
(C) Public or Society-at-Large
(D) Political Party in Power",C,,,
